date,prix_Gazole,prix_98,prix_95,prix_GPL,Année,Mois,Saison,Jour,Type_de_Jour
2006-02-03 23:00:00,1.048,1.258,1.209,0.7,2006,février,Hiver,vendredi,Semaine
2006-02-04 23:00:00,1.054,1.233,1.205,0.653,2006,février,Hiver,samedi,Week-end
2006-02-05 23:00:00,1.043,1.255,1.23,0.66,2006,février,Hiver,dimanche,Week-end
2006-02-06 23:00:00,1.038,1.26,1.201,0.65,2006,février,Hiver,lundi,Semaine
2006-02-07 23:00:00,1.057,1.242,1.213,0.634,2006,février,Hiver,mardi,Semaine
2006-02-08 23:00:00,1.063,1.273,1.221,0.665,2006,février,Hiver,mercredi,Semaine
2006-02-09 23:00:00,1.045,1.242,1.196,0.642,2006,février,Hiver,jeudi,Semaine
2006-02-10 23:00:00,1.058,1.269,1.224,0.698,2006,février,Hiver,vendredi,Semaine
2006-02-11 23:00:00,1.064,1.292,1.226,0.699,2006,février,Hiver,samedi,Week-end
2006-02-12 23:00:00,1.054,1.251,1.213,0.7,2006,février,Hiver,dimanche,Week-end
2006-02-13 23:00:00,1.054,1.248,1.201,0.681,2006,février,Hiver,lundi,Semaine
2006-02-14 23:00:00,1.073,1.278,1.224,0.728,2006,février,Hiver,mardi,Semaine
2006-02-15 23:00:00,1.056,1.254,1.213,0.673,2006,février,Hiver,mercredi,Semaine
2006-02-16 23:00:00,1.049,1.244,1.201,0.652,2006,février,Hiver,jeudi,Semaine
2006-02-17 23:00:00,1.049,1.257,1.204,0.631,2006,février,Hiver,vendredi,Semaine
2006-02-18 23:00:00,1.058,1.282,1.187,0.676,2006,février,Hiver,samedi,Week-end
2006-02-19 23:00:00,1.058,1.244,1.194,0.677,2006,février,Hiver,dimanche,Week-end
2006-02-20 23:00:00,1.065,1.275,1.205,0.69,2006,février,Hiver,lundi,Semaine
2006-02-21 23:00:00,1.059,1.229,1.198,0.69,2006,février,Hiver,mardi,Semaine
2006-02-22 23:00:00,1.066,1.24,1.194,0.662,2006,février,Hiver,mercredi,Semaine
2006-02-23 23:00:00,1.056,1.261,1.205,0.68,2006,février,Hiver,jeudi,Semaine
2006-02-24 23:00:00,1.064,1.249,1.206,0.681,2006,février,Hiver,vendredi,Semaine
2006-02-25 23:00:00,1.067,1.266,1.196,0.665,2006,février,Hiver,samedi,Week-end
2006-02-26 23:00:00,1.044,1.242,1.192,0.669,2006,février,Hiver,dimanche,Week-end
2006-02-27 23:00:00,1.043,1.261,1.195,0.662,2006,février,Hiver,lundi,Semaine
2006-02-28 23:00:00,1.068,1.261,1.207,0.655,2006,février,Hiver,mardi,Semaine
2006-03-01 23:00:00,1.04,1.222,1.187,0.6375,2006,mars,Printemps,mercredi,Semaine
2006-03-02 23:00:00,1.055,1.243,1.197,0.62,2006,mars,Printemps,jeudi,Semaine
2006-03-03 23:00:00,1.059,1.27,1.22,0.675,2006,mars,Printemps,vendredi,Semaine
2006-03-04 23:00:00,1.066,1.268,1.198,0.69,2006,mars,Printemps,samedi,Week-end
2006-03-05 23:00:00,1.065,1.256,1.201,0.76,2006,mars,Printemps,dimanche,Week-end
2006-03-06 23:00:00,1.067,1.246,1.216,0.72,2006,mars,Printemps,lundi,Semaine
2006-03-07 23:00:00,1.081,1.252,1.21,0.634,2006,mars,Printemps,mardi,Semaine
2006-03-08 23:00:00,1.081,1.252,1.211,0.639,2006,mars,Printemps,mercredi,Semaine
2006-03-09 23:00:00,1.076,1.242,1.191,0.65,2006,mars,Printemps,jeudi,Semaine
2006-03-10 23:00:00,1.048,1.221,1.185,0.655,2006,mars,Printemps,vendredi,Semaine
2006-03-11 23:00:00,1.064,1.228,1.199,0.625,2006,mars,Printemps,samedi,Week-end
2006-03-12 23:00:00,1.068,1.226,1.194,0.644,2006,mars,Printemps,dimanche,Week-end
2006-03-13 23:00:00,1.062,1.245,1.206,0.642,2006,mars,Printemps,lundi,Semaine
2006-03-14 23:00:00,1.056,1.253,1.22,0.64,2006,mars,Printemps,mardi,Semaine
2006-03-15 23:00:00,1.072,1.243,1.213,0.623,2006,mars,Printemps,mercredi,Semaine
2006-03-16 23:00:00,1.079,1.27,1.236,0.635,2006,mars,Printemps,jeudi,Semaine
2006-03-17 23:00:00,1.052,1.269,1.242,0.6675,2006,mars,Printemps,vendredi,Semaine
